experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,bce,10,0.5675046424325241,0.003925097506211393,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,dp_age,10,0.08238999095751169,0.023981019996592412,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,dp_race,10,0.08494502893615721,0.015167453049664225,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,eod_age,10,0.032354602972588464,0.023327806474943685,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,eod_excess,10,0.055064486196235815,0.02002863479347085,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,eod_race,10,0.05019704302380018,0.016226507435920644,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,eodds_max_age,10,0.04268232071119597,0.03182179324172542,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,eodds_max_race,10,0.10227338731175045,0.024112800151007203,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,fpr_age,10,0.03483660037608981,0.03366442666408084,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,fpr_race,10,0.10227338731175045,0.024112800151007203,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,sAOD,10,0.16593832948509366,0.028833349571337867,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,sDP,10,0.19059036499101467,0.020975586314760895,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,sEOD,10,0.11290840643171089,0.02358541118669692,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,sEOdds_max,10,0.22044336647737808,0.04527499676959459,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,behavior,sFPR,10,0.22044336647737808,0.04527499676959459,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,mechanism,D2age,10,0.20044214874505997,0.020821423170250593,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,mechanism,D2ar,10,0.3446510940790176,0.09302982598851205,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,mechanism,D2race,10,0.15663244426250458,0.018086375202475538,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,mechanism,D3,10,0.29970050752162936,0.02799039360377352,lower
acs_intersectional_age_race,acs_employment,MD,wrong_d3,mechanism,Gsub,10,0.4321959286928177,0.02894773564020427,lower
