"source_state","target_state","metric_group","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","score_only",120,0.054923019806544,0.0307421851276742,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","erm",120,0.0598451847831408,0.0322297408916638,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","adv",120,0.060346764822801,0.0333350817156713,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_dp_gap","lower","reweight",120,0.0626365177333355,0.0369419232050131,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","repair_main05",120,0.00373988046799044,0.00495433931403457,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","repair_main0",120,0.00458982086891917,0.00633198797923089,1,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","no_interaction",120,0.00577310474850254,0.00896797678836251,2,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","wrong_spec",120,0.00714524005648999,0.0111086480410396,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","score_only",120,0.00793981259785296,0.0107283258726035,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","blind",120,0.00824679995742316,0.00905992640750469,3,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","adv",120,0.0093281083870376,0.0122557414075206,4,"ScottKnottESD","2.0.3"
"ALL","ALL","source_threshold_behavior","source_threshold_eod_gap","lower","erm",120,0.00981237922648226,0.0113449499855642,4,"ScottKnottESD","2.0.3"
